0 8 16
0 9 2
0 18 2
0 29 2
0 47 3
0 112 2
0 135 2
0 150 3
0 156 4
0 215 3
0 256 2
0 259 586
0 274 5
0 321 22
0 415 9
0 552 17
0 618 2
0 646 30
0 674 2
0 704 9
0 843 1323
0 902 60
0 917 2
1 15 2
1 37 12
1 70 5
1 82 20
1 135 3
1 228 2
1 292 4
1 481 9
1 535 2
1 644 261
1 705 7
1 768 4
1 825 5
1 920 2
2 0 6
2 8 11
2 48 614
2 132 2
2 523 57
3 24 11
3 277 4
3 592 13
3 817 2
4 0 2
4 24 2
4 50 2
4 60 4
4 284 24
4 293 17
4 368 2
4 517 6
4 683 2
4 774 2
4 803 18
4 808 2
5 18 2
5 584 3
5 887 3
6 148 4
6 212 2
6 259 19
6 267 6
6 268 2
6 466 2
6 512 12
6 798 5
6 1002 15
7 81 2
7 110 12
7 237 3
7 715 14
8 1 15
8 2 7
8 19 3
8 32 3
8 42 12
8 58 7
8 202 4
8 272 36
8 273 27
8 393 3
8 486 53
8 642 3
8 656 2
8 735 5
8 850 2
8 902 2
9 39 52
9 43 13
9 416 76
9 526 3
9 823 21
9 907 2
10 13 205186
10 40 18
10 75 11
10 84 2
10 208 6
10 518 2
10 523 19
10 584 2
10 599 2
10 680 2
10 778 3
11 204 2
11 586 56
11 752 4
11 779 2
12 0 4
12 24 4
12 55 2
12 65 6
12 269 7
12 366 15
12 634 2
12 781 90
13 66 7
13 192 4
13 224 3
13 320 2
14 127 61
14 152 4
14 210 2
14 321 22
14 376 4
14 584 2
14 616 2
15 352 7
15 485 3
15 659 37
15 854 2
16 9 11
16 24 2
16 64 7
16 96 8
16 148 3
16 198 207
16 516 2
16 806 18
17 129 6
17 258 2
18 51 2
18 215 6
18 290 2
18 641 2
18 645 2
19 7 3
19 24 2
19 657 7
19 709 6
20 10 2
20 36 2
20 176 9
20 323 2
20 786 4
21 116 16
21 258 3
21 308 8
22 24 4
22 68 4
22 97 4
22 133 10
22 281 4
22 331 6
22 565 44
23 328 2
23 770 3
23 886 19
24 9 4
24 533 5
24 781 2
24 786 38
24 848 10895
24 944 639
25 523 5
25 592 2
26 22 2
26 109 9
26 801 44
27 130 6
27 210 13
27 547 10
28 42 2
28 72 9
28 146 2
28 192 2
28 203 5
28 624 3
29 1 2995
29 5 13
29 327 4
29 809 2
30 21 6
30 52 2
30 129 2
30 588 2
31 561 2
32 16 2
32 33 4
32 185 4
32 196 3
32 204 315
32 219 2
32 388 3
32 414 2
32 514 10
32 612 2
32 641 2
32 759 2
32 848 6
32 960 4
33 2 35
33 26 6
33 31 2
33 64 32
33 320 17
33 544 4
33 785 41
34 292 2
34 324 34
34 561 2
34 663 350
34 720 2
35 65 7
35 266 2
35 689 4
36 34 3
36 48 4
36 257 2
36 266 2
36 288 2
36 320 20
36 448 2
36 555 3
36 705 5
36 858 2
37 13 3014
37 520 2
37 594 2
37 640 2
38 1 7
38 180 19
38 204 16
38 544 2
39 48 8
39 520 3
39 982 7
40 9 5
40 20 4
40 39 8
40 65 57
40 256 18
40 512 7
40 528 3
40 645 3
40 672 11
40 756 2
40 761 22
40 840 3
40 980 16
41 96 2639
41 263 12
41 276 2
41 321 63
41 513 6
42 42 24
42 140 2
42 329 2
42 411 2
42 839 2
43 1 10011
44 12 4
44 47 2
44 430 2
44 524 2
44 794 19
45 23 3
45 50 5
45 74 2
45 266 2
45 615 2
45 808 2
45 844 6
46 57 6
47 80 4
48 67 8
48 176 3
48 193 3
48 198 8
48 226 82
48 646 2
48 708 21
48 789 17
48 843 5
48 932 2
49 4 12
49 17 2
49 310 6
49 313 9
50 113 2
50 528 7
51 377 8
51 516 10
52 46 4
52 188 4
52 256 5
52 285 484
52 390 2
52 899 2
53 146 2
53 245 4
54 112 3
54 718 27
55 278 10
56 89 2
56 267 30
56 472 2
56 544 4
57 5 2
57 33 46
57 128 2
57 448 2
58 113 16
58 470 2
59 58 2
59 583 7
60 3 9
60 5 7
60 33 10
60 112 16
60 948 4
61 644 17
62 521 7
62 612 6
64 1 6
64 26 2
64 194 11
64 197 6
64 203 178
64 272 2
64 465 65
64 481 2
64 514 5
