0 4 8
0 9 2
0 29 2
0 47 4
0 112 2
0 135 3
0 166 16
0 215 2
0 259 2
0 265 2
0 274 10
0 321 9
0 352 2566
0 415 2
0 618 2
0 646 2
0 670 7
0 674 14
0 679 11629
0 704 39
0 843 6
0 917 5
0 936 6
1 7 46
1 15 2
1 30 18
1 37 476
1 70 4
1 82 2
1 135 3
1 228 2
1 481 8
1 565 2
1 644 2
1 705 72129
1 768 13
1 825 5
1 920 2
2 0 24
2 3 23
2 8 9
2 48 2
2 132 4
2 260 5
2 267 15
2 328 2
2 523 4
2 826 3
3 24 12
3 272 1961
3 277 3
3 530 6
3 652 11
3 817 11
4 0 39919
4 4 2
4 24 2
4 60 23
4 293 2
4 576 2
4 683 4
4 774 2
4 808 2
5 18 2
5 216 26
5 887 2
6 3 1696
6 148 12
6 259 6
6 267 2
6 466 4
6 512 2
6 798 2
6 1002 2
7 81 2
7 110 3
7 715 3
8 1 2
8 2 6
8 19 6
8 32 2
8 42 2
8 58 3
8 202 2
8 272 2
8 273 4
8 386 32
8 393 8
8 486 2
8 552 231655
8 642 2
8 735 2
8 902 21
9 43 2
9 274 2
9 416 2
9 526 2
9 572 50
9 823 2
9 907 25
10 13 2
10 40 90
10 75 2
10 160 5
10 176 14
10 518 23
10 523 2
10 584 2
10 599 3
10 680 14
10 778 2
11 779 12
12 0 2
12 55 3
12 65 271
12 366 17
12 634 5
12 781 2
13 66 7
13 192 13
13 224 2
13 320 30
14 127 2
14 152 2
14 210 2
14 321 2
14 376 3
14 584 45
14 616 2
15 352 2
15 485 117
15 659 2
15 854 2
16 9 2
16 24 6
16 64 5
16 96 25
16 516 2
16 643 11
16 806 27
17 48 40
17 129 3
17 258 2
18 51 3
18 203 5
18 215 14
18 290 2
18 641 19
18 645 4
19 7 17
20 1 8
20 10 7
20 28 14
20 36 3
20 194 184
20 323 2
20 786 14
21 258 2
21 308 8
22 24 18
22 97 2
22 133 12
22 281 9
22 320 2
22 565 5
23 886 9
24 9 2
24 781 2
24 786 77
24 848 2
24 944 4
25 523 6
25 592 23
26 20 2
26 22 2
26 109 2
27 210 2
27 547 6
27 549 4
28 42 4
28 72 9
28 146 11
28 203 6
28 624 19
28 647 4
29 1 59
29 5 2
29 327 3
29 532 96
29 809 3
30 21 4
30 52 19
30 588 2
31 77 2
31 561 20
32 42 2
32 211 2
32 219 2
32 276 18
32 388 2
32 414 6
32 514 2
32 612 3
32 641 1316
32 721 72
32 759 2
32 803 6
32 848 5
33 2 2
33 3 55
33 26 2
33 31 26
33 64 2
33 277 6
33 320 181790
33 945 3
34 292 2
34 324 3
34 561 3
34 663 81
34 720 11
34 800 34
35 65 2
35 551 9
35 689 2
36 12 2
36 34 18
36 48 8
36 257 2
36 320 2
36 555 2
36 858 2
37 2 2
37 364 2
37 520 10
37 640 11
37 673 2
38 1 32804
38 180 4
38 204 2
39 3 2
39 520 22
39 982 4
40 9 3
40 20 832
40 39 17
40 65 6
40 512 2
40 605 30
40 645 6
40 672 2
40 756 18
40 761 2
40 840 11
40 980 8
41 96 6
41 263 2
41 276 3
41 321 3
41 513 2
41 987 7
42 140 2
42 411 2
42 839 2
43 1 2
43 546 11
44 10 2
44 12 2
44 47 3
44 430 2
44 524 2
44 794 2
45 50 74
45 266 3
45 615 7844
45 808 7
45 844 10
46 57 2
47 80 38
47 1022 3
48 67 2
48 168 6
48 176 43
48 193 13
48 198 4
48 226 2
48 646 6
48 789 4
48 932 2
49 4 3
49 310 2
49 516 14
50 9 2
50 113 5
50 528 4
51 70 16
51 377 9
51 516 17
52 46 10
52 256 8
52 285 30
52 390 2
52 899 31823
53 146 2
53 245 2
54 112 2
54 718 2
55 278 7
56 89 21
56 472 94
57 5 9
57 33 2
57 128 12
57 448 23
58 470 2
59 58 17
59 292 2
59 453 25
60 3 2
60 5 2
60 33 2
60 112 7
60 948 2
61 644 2
62 521 3
62 612 2
64 1 2
64 26 10
64 41 4
64 194 2
64 197 5
64 203 59
64 272 169
64 370 5
64 481 31
64 514 2
64 686 2
64 771 35
64 780 2
64 790 4
65 25 24
65 61 5
65 96 6
65 104 10
65 218 45
65 241 3
65 274 2
65 421 10
65 515 33
65 571 11
65 614 2
66 140 2
66 545 2
67 16 7
67 20 2
67 37 3
67 73 2
67 453 7
67 482 2
67 840 2
68 192 3
68 226 4
68 284 2
68 322 2
69 138 96
69 276 12
69 529 2
69 572 2
69 768 4
70 109 2
70 212 16
70 431 29
70 608 74
70 642 8
70 646 2
70 648 4
70 672 46
71 409 4
72 8 12
72 65 2
72 280 5
72 533 2
72 961 18154
73 640 2
73 870 25
73 999 7
74 512 9
74 548 454
74 600 5
74 768 6
74 1012 7
75 259 9
75 576 2
76 76 2
76 84 2
76 133 2
76 262 132
76 586 9
76 855 64
77 267 37
77 450 2
77 456 5
78 288 17
78 517 10
78 784 2
78 919 19
79 165 3
80 0 2
80 51 4
80 82 2
80 132 7
80 211 2
80 677 2
80 920 2
81 807 9
81 852 3
82 280 2
82 283 26
83 115 2
83 124 29
83 304 39
83 617 296
83 784 3
84 64 2
84 74 44
84 216 22
84 490 2
85 31 2
85 65 3
86 234 3
86 524 3
87 353 19
87 462 5
87 512 4
87 515 2
88 330 3
88 782 2
89 2 10
89 4 16
89 76 2
90 20 457
90 274 26
90 843 2
90 977 2
90 988 103
91 154 14
91 652 3
91 951 2
92 91 2
93 134 2
93 669 6
94 869 10
94 954 5
95 20 2
95 34 2
96 32 3
96 80 3
96 103 8
96 148 2
96 208 4
96 220 2
96 276 9
96 304 2
96 321 2
96 356 76
96 547 3
96 776 25
96 820 2
97 48 4
97 195 3
97 286 36
97 473 5
97 525 24
98 14 8
98 352 66
98 401 2
98 671 28
98 928 2
99 117 3
99 134 16285
99 249 11
100 128 2
100 294 2
100 768 8
100 901 94
101 70 2
101 124 50
101 161 6
101 169 2
101 392 13
101 599 372
102 6 2
102 78 2
102 166 21
102 264 181
103 704 5
104 26 33
104 28 4
104 48 2
104 64 2
104 132 5
104 313 8
104 512 8
104 673 5
105 3 2
105 296 2622
105 779 2
106 516 2
106 652 6
107 3 4
108 514 3
108 825 2
109 707 2
111 12 3
112 0 4
112 1 2
112 3 12
112 28 2
112 84 5
112 107 5
112 165 13
112 776 2
114 68 2
114 452 2
114 497 6
114 872 2
116 33 19
117 106 22
117 803 5
118 565 2
119 446 3
119 836 2
120 0 40
120 76 24711
121 536 2
122 24 2
122 80 2
122 185 2
122 294 2
123 600 2
124 348 62
125 268 2
128 1 3
128 10 3
128 58 7
128 134 123
128 200 7
128 208 14
128 320 18
128 362 2
128 375 2
128 376 8
128 433 2
128 453 2
128 628 2
128 806 2
129 0 11
129 39 34
129 88 5078
129 163 2
129 584 111
129 707 2
130 78 3
130 272 13
130 273 3
130 528 11
130 540 5
130 675 67
130 772 2
130 980 2
132 17 2
132 94 2
132 372 8
132 516 13
132 713 4
132 916 10
132 957 11
133 23 7
133 138 13
133 614 4
134 67 2
134 84 2
134 224 2
134 377 5
134 390 3
134 516 2
134 768 10
135 544 2
136 21 10
136 39 2
136 81 2
136 160 2
136 482 4
136 610 7
136 657 2
136 831 7
137 148 3
137 256 2
137 259 2
137 325 3
137 678 2
137 778 2
138 415 2
138 590 6
139 87 3
139 426 7
139 865 9
140 72 598580
140 143 19
140 168 24
140 464 13
140 724 5
140 776 43
141 2 33
141 954 15
142 641 3
143 116 6
143 144 2
143 187 520
143 286 6
143 642 2
144 18 87
144 68 10
144 248 2
144 257 9
144 418 262
144 433 29
144 520 4
144 800 3
145 1 2
145 2 4
145 94 2
145 184 4
145 216 2
145 273 2
145 513 7
146 69 2
146 146 88
146 396 12
146 910 1182
147 513 13
148 24 2
148 130 2
148 139 188
148 146 74
148 278 36
148 464 2
148 515 2
148 912 5
149 20 11
149 633 2
149 649 81
150 160 20
150 656 2
151 102 9
151 132 7
151 207 9
153 26 2
153 592 4
153 598 6
153 961 2
156 133 92
156 521 3
156 814 2
157 404 14
158 104 7
159 526 2
160 34 3
160 144 14
160 452 2
160 644 2
161 21 28
161 40 2
161 326 2
161 576 13
161 717 2
161 898 3
162 290 2
162 306 2
162 517 14
163 361 45
164 38 3
164 87 3
164 264 448
164 329 2
164 481 2
164 636 89
164 646 390
165 141 8
167 104 6
167 289 5
167 384 9
167 456 19
168 8 15
168 67 14
168 98 17
168 480 7
169 72 3
169 351 7
171 144 36
171 810 71
172 32 166
172 569 5
174 493 3
174 582 63
175 863 514
176 137 2
176 270 2
176 824 3
176 932 4
177 128 12
177 280 4
177 560 5
177 611 912
178 100 2
178 144 68
178 580 2
179 429 2
180 19 2
180 152 62
180 600 2
181 97 208
181 331 8
181 964 4
182 300 189
182 672 102
182 728 2
184 141 1489
184 161 3
184 664 422
185 5 2
185 391 7
186 272 2
186 582 5
187 800 13
188 4 11
188 199 5
192 43 2
192 52 76
192 72 2
192 177 2
192 388 14
192 392 6
192 524 4
192 536 3
192 713 35
192 898 2
192 904 14
192 999 2
193 8 2
193 120 5
193 131 10
193 162 2
193 375 2
193 422 4
193 718 6
193 775 11
194 592 2
194 677 2
196 286 12
196 377 8
197 61 10
197 100 2
197 592 5
197 611 2
198 3 25
198 196 5
198 812 9
200 577 2
201 39 2
201 98 2
201 140 2
202 11 2
203 654 2
204 520 2
205 457 5
206 80 3
208 12 58
208 14 4
208 88 2
208 534 4
209 55 2
209 513 4
209 564 2
210 1 2
210 882 2
211 4 2
212 69 4
212 262 3
212 673 14
214 369 6
216 792 2
217 923 2
218 86 2
219 389 4
220 176 27
220 658 2
222 532 29
222 852 2
225 257 47
225 316 4
225 948 2
226 35 292
226 157 5
227 336 18
228 32 4
228 294 8
230 9 2
231 290 3
232 5 8
232 130 31
232 480 2
233 212 9
233 912 7
233 973 124
234 917 2
235 645 2
237 91 2
239 370 40
239 560 50
240 18 2
240 66 2
240 799 4
240 914 2
241 206 2492
241 245 2
242 156 8238
244 33 16
244 356 2
244 932 2
245 705 3
246 64 2
247 626 6
248 0 2
248 557 2
248 902 19
250 46 2
253 636 20
256 1 2609
256 4 2
256 5 3
256 68 18
256 69 2
256 160 2
256 212 4
256 262 12
256 312 2
256 416 3
256 512 12
256 522 2
256 616 51
256 705 2
256 764 2
256 804 2
256 904 7
256 963 4
256 992 2
257 0 11
257 156 7
257 268 2
257 680 2
257 806 15
257 912 2
257 920 2
257 945 2
258 24 2
258 34 4
258 36 9
258 138 3
258 265 6
258 673 2
258 880 22
259 7 5
259 165 12
259 226 42
259 532 3
260 256 2
260 295 2
260 545 3
260 678 2
260 978 2
261 8 2
261 67 19
261 72 2
261 356 17
261 672 2
261 995 4
262 134 3
262 193 11
262 256 2
262 906 4
262 1013 2
264 4 9
264 296 21
264 320 7
265 264 4
265 339 7
265 632 2
266 11 4
266 56 2
266 242 2
266 326 2
266 336 2
267 523 2
267 581 15
268 12 3
268 34 2
268 192 274
268 512 6
268 524 10
268 577 3
269 444 2
269 640 2
270 73 17
270 532 32
270 642 10
272 41 8
272 162 2
272 208 3
272 225 9
272 234 40
272 259 3
272 280 9
