0 4 8
0 9 2
0 17 1472281
0 18 2
0 47 9
0 112 4
0 166 2
0 215 8
0 256 16
0 259 1694
0 265 2
0 274 2
0 321 2
0 415 47
0 552 2
0 646 2
0 670 8
0 674 2
0 679 12
0 843 2
0 917 4
0 936 14
1 7 2
1 15 11
1 30 2
1 70 21
1 82 2
1 135 3
1 292 6
1 481 6
1 535 7
1 565 67
1 644 2
1 705 2
1 768 2
1 825 8
1 920 2
2 0 13
2 8 724
2 48 2
2 132 23
2 167 23
2 260 2
2 267 3
2 328 2
2 523 3
2 826 6
3 24 9
3 131 11
3 272 2
3 277 4
3 530 11
3 592 2
3 652 685
3 817 6
4 0 2
4 4 2
4 15 11
4 50 11
4 60 15
4 248 60
4 293 5
4 368 228
4 576 2
4 683 2
4 803 2
4 808 2
5 216 18
5 584 8
5 887 333
6 3 2
6 148 3
6 212 2
6 259 2
6 267 2
6 268 4
6 512 2
6 798 4
6 1002 9
7 110 5
7 715 2
8 1 2671
8 2 9
8 19 23
8 32 120
8 42 7
8 58 3
8 202 2
8 272 4
8 386 5
8 393 2
8 486 2
8 642 7
8 656 3
8 735 477
8 850 2
8 902 2
9 39 3
9 43 2
9 416 4
9 526 2
9 572 2
9 823 4
9 907 14
10 13 6
10 40 2
10 75 28
10 160 4
10 176 44
10 208 13
10 523 4
10 584 18
10 680 2
10 778 7
11 204 2
11 586 6
11 779 15
12 0 2
12 24 11
12 55 3169
12 65 69
12 116 36
12 128 26
12 269 5
12 366 30
12 634 2
12 781 4
13 66 3
13 192 4
13 224 2
13 320 7653
13 780 2
14 127 2
14 210 2
14 321 2
14 376 50
14 616 15
15 352 3
15 485 2
15 659 2
15 854 7
16 9 2
16 24 2
16 64 2
16 132 2
16 148 4
16 198 30
16 516 3
16 643 2
16 806 3
17 48 2
17 258 13
18 51 2
18 203 25
18 215 4
18 290 16
18 641 158
18 645 10
19 7 2
19 24 2
19 709 2
20 1 149
20 10 2
20 28 15
20 69 2
20 194 17
20 786 6
21 116 26
21 258 2
21 308 5
22 24 2
22 68 45
22 97 25
22 133 2
22 320 3
22 331 2
23 328 2
23 770 3
23 886 7
24 9 4
24 781 15
24 786 8
24 848 5
24 944 2
26 20 52
26 109 13
26 801 2
27 210 6
27 547 2
28 42 2
28 72 16
28 192 6795
28 624 2
28 647 3345
29 5 3
29 327 6
29 532 2
29 809 67
30 52 319073
30 129 10
30 588 33
31 77 2
31 561 4
32 16 5
32 33 7
32 42 2
32 196 6
32 204 2
32 211 2
32 276 31
32 514 18
32 612 2
32 641 60
32 721 2
32 759 4
32 803 2
33 3 2
33 26 3
33 64 3
33 277 2
33 320 2
33 544 3
33 898 4
33 945 3
34 144 2
34 292 2
34 324 2
34 561 48
34 663 2
34 720 6
34 800 2
35 65 2
35 266 6
35 551 917
35 689 54
36 12 8
36 34 2
36 48 4
36 257 2
36 266 3
36 288 2
36 320 6
36 448 2
36 555 2
36 705 2
36 858 2
37 13 2
37 364 8
37 520 3
37 594 2
37 640 9
38 180 2
38 204 3
38 544 2
39 3 5
39 48 4
39 982 46
40 9 5
40 20 53
40 39 2
40 65 4
40 256 3893
40 512 3
40 528 6
40 605 2
40 672 2
40 756 2
40 761 7
40 840 14
40 980 4
41 96 2
41 276 2
41 513 7
41 987 14
42 42 2
42 140 2
42 329 48
42 411 11
42 778 2
42 839 26
43 1 36
43 546 5
44 10 3
44 12 2
44 47 40
44 430 23
44 524 2
44 794 8
45 23 67
45 50 7
45 74 2
45 808 6
45 844 8
46 57 31
47 80 7
48 67 2
48 168 2
48 176 12
48 193 2482
48 226 18
48 646 4
48 789 2
48 843 2
49 17 7
49 310 3
49 516 2
50 9 11
50 113 2
50 528 2
51 70 2
51 377 55
51 516 2
52 46 2
52 188 2
52 256 2
52 285 5
53 245 15
54 718 3
55 278 3
56 89 7
56 267 200
56 560 2
57 5 6
57 128 10
57 448 2
59 292 7
59 453 11
59 583 12
60 3 13
60 5 2
60 33 2
60 112 2
60 948 4
61 644 2
62 521 9
64 1 3
64 26 7
64 41 3
64 192 6
64 194 14
64 203 4
64 272 3
64 370 28
64 465 3
64 481 2
64 514 2
64 686 4
64 756 6
64 771 3
64 780 8
64 790 5
65 25 7
65 104 2
65 118 2
65 218 2
65 241 2
65 421 2
65 515 12
65 614 37
66 140 2
66 545 15
67 2 20
67 73 142
67 453 4
67 840 2
68 153 329
68 226 4
68 284 4
68 322 2
69 138 54
69 276 9
69 466 3
70 212 4
70 431 20
70 646 12
70 648 7
70 672 3
71 1 2
71 409 3
71 700 2
72 37 9
72 65 2
72 280 5
72 437 4
72 533 2
72 961 2
73 39 13
73 640 3
74 512 39
74 600 16618
74 768 2
74 1012 8
75 259 2
76 84 3
76 133 9
76 586 3
76 855 2
77 256 106
77 267 2
77 450 184
77 456 2
78 288 5
78 517 6
78 784 5
78 919 18
79 386 12
80 0 2
80 51 2
80 82 11
80 132 2
80 211 2
80 528 884
80 677 21
81 852 9
82 280 6
83 115 7
83 124 27
83 617 2
83 784 2
84 74 2
85 31 2
85 65 2
86 234 2
86 524 23
87 353 5
87 462 24
87 512 2
87 515 2
88 330 2
88 782 21
89 2 2
89 4 16
89 76 29
90 20 4
90 274 2
90 988 9
91 154 12
91 652 11
91 951 2
92 38 6
92 91 5
93 134 32
93 669 4
94 869 19
94 954 3
96 32 2
96 80 15
96 103 12
96 148 341
96 208 7
96 220 2
96 276 3
96 304 1278
96 321 3
96 356 5
96 776 14
96 820 129
97 18 36
97 48 7
97 130 2
97 167 6
97 195 7
97 286 3
97 473 2
97 525 52
98 14 2
98 352 2
98 401 5
98 671 4
98 928 6
99 117 21
99 134 46
100 128 4
100 752 2
100 768 4
100 901 2
101 70 2
101 124 2
101 161 246
101 392 105
101 599 5
102 6 2
102 78 2
102 166 12
102 264 2
103 704 2
104 26 2
104 48 7
104 64 2
104 313 310
104 512 8
104 673 109
105 3 65
105 296 5
105 779 5
106 516 15
106 652 13
107 3 2
108 133 2
108 514 2
109 707 13
112 0 8
112 1 2
112 3 9
112 28 101
112 84 6
112 107 5
