0 4 8
0 8 28
0 18 20
0 112 43
0 150 2
0 156 2
0 215 24
0 259 8
0 265 51
0 274 6
0 321 8
0 352 291
0 415 19
0 552 3
0 618 4
0 646 7
0 670 2
0 674 4
0 679 2
0 843 3
0 902 3
0 936 8
1 30 2
1 37 5
1 70 8
1 82 5
1 135 2
1 228 13
1 481 2
1 535 2
1 565 2
1 644 2
1 768 2
1 825 8
1 920 2
2 0 2
2 3 2
2 8 2
2 48 4
2 132 2
2 260 2
2 267 20
2 523 2
2 826 2
3 24 23
3 131 2
3 272 44
3 277 30
3 530 3
3 592 314
3 652 2
3 817 13
4 0 2
4 4 28
4 50 17
4 60 2
4 64 2
4 284 3
4 293 14
4 368 7
4 517 12
4 576 13
4 683 3
4 774 2
4 803 2
5 584 2
6 3 4
6 148 40
6 212 2
6 259 3
6 267 3
6 268 12
6 466 10
6 512 5
6 798 19
6 1002 2
7 81 11
7 110 2
8 1 6
8 2 2
8 19 33
8 32 65
8 42 71
8 58 612
8 202 3
8 272 9
8 386 34
8 486 4
8 552 10
8 642 463
8 656 127
8 735 4
8 850 2
8 902 3
9 39 9
9 274 4
9 526 3
9 572 9
9 823 22
9 907 12
10 13 2
10 40 2
10 75 8
10 84 2
10 160 2
10 176 7
10 518 2
10 523 3
10 599 8
10 680 2
10 778 3
11 204 2
11 586 2
11 752 3
11 779 5
12 0 2
12 24 13
12 55 2
12 65 11
12 128 2
12 269 10
12 366 2
12 634 61
12 781 2
13 66 9
13 192 12
13 224 18
14 127 2
14 210 10
14 321 34
14 376 2
14 584 659
14 616 2
15 352 13
15 485 13
15 659 72
16 9 15
16 24 33
16 64 434
16 132 2
16 148 5
16 198 2
16 516 2
16 643 3
16 806 10
17 48 27
17 258 4
18 203 15
18 215 4
18 290 2
18 645 2
19 7 16
19 24 3
19 709 3
20 10 9
20 36 24
20 176 3
20 194 2
20 786 26
21 116 36
21 258 87
21 308 14
22 24 12
22 68 14
22 97 7
22 133 2
22 281 2
22 320 11
22 331 2
22 565 2
23 328 23
23 770 2
24 9 6
24 533 4
24 781 47
24 786 10
24 848 2
25 592 2
26 20 2
26 22 7
26 109 4
26 801 2
27 130 20
27 210 8
28 42 191
28 72 10
28 146 2
28 192 13
28 624 2
28 647 13
29 5 2
29 327 5
29 532 2
29 809 14
30 21 12
30 52 11
30 129 90
30 588 2
31 77 421
32 33 2
32 42 4
32 185 14
32 196 2
32 204 4
32 211 2
32 219 3
32 276 8
32 414 5
32 514 2
32 612 48
32 641 125
32 721 6
32 759 2
32 803 5
32 848 2
33 2 3
33 3 177
33 26 2
33 64 7
33 320 7
33 544 2
33 785 2
33 898 8
34 144 2
34 292 2
34 324 12
34 663 2
34 720 2
35 65 139
35 551 2
35 689 2
36 12 6
36 34 2
36 257 2
36 266 2
36 288 2
36 320 2
36 448 2
36 555 2
36 705 29260
36 858 2
37 13 7
37 364 23
37 594 4
37 640 239
37 673 5
38 1 2
38 180 3
38 204 2
39 3 2
39 48 6
39 520 4
39 982 4
40 9 19
40 39 3
40 65 2
40 512 2
40 528 7
40 605 2
40 645 142
40 672 30
40 761 2
40 980 2
41 96 15
41 321 5
41 513 33
42 42 8
42 140 24
42 329 26
42 411 2
42 778 1627
42 839 2
43 1 2
43 546 10
44 12 94
44 47 2
44 430 9
44 524 4
44 794 2
45 23 2
45 50 2
45 74 5
45 266 22
45 615 2
45 808 3
45 844 14
46 57 22
47 80 5
47 1022 36
48 67 6
48 193 3
48 198 10
48 226 2
48 708 2
48 789 2
48 932 3
49 4 2
49 310 2
49 313 71
49 516 3
50 9 17
50 113 19
50 528 3
51 70 2
52 46 2
52 256 2
52 285 29
52 390 2
52 899 2
53 146 25
53 245 2
54 112 3
54 718 6
55 278 2
56 89 2
56 472 2
56 544 132
56 560 33
57 5 31
57 128 17
57 448 62
58 113 6
58 470 9
59 58 5
59 292 19
59 583 4
60 3 19
60 5 4
60 33 26
60 112 2
60 948 18
61 648 2
62 521 3
62 612 3
64 26 42
64 41 5
64 192 2
64 194 10
64 203 2
64 272 2
64 370 6
64 465 2
64 481 26
64 514 3
64 686 247
64 756 9
64 771 2
64 780 3
64 790 15
65 25 28
65 61 59
65 96 6
65 118 7
65 218 14
65 241 63
65 421 2
65 515 11
66 140 231
66 545 2
67 2 2
67 16 12
67 20 2
67 37 2
67 453 14
67 482 2
67 840 46
68 192 7
68 226 2
68 284 2
68 576 3784
69 138 16
69 276 4
69 466 5
69 572 2
69 768 10
70 212 4
